,Name,Theme,Filter,transformation,splines
1657,Preço médio - atacado - suínos - lombo sem osso - kg - PR,Preços,0,0,1
1658,Preço médio - atacado - suínos - paleta com osso - kg - PR,Preços,0,0,1
1659,Preço médio - atacado - suínos - pernil com osso - kg - PR,Preços,0,0,1
1661,Preço médio - recebido pelo agricultor - arroz (em casca) - 50 kg - PR,Preços,0,0,1
1663,Preço médio - recebido pelo agricultor - boi gordo - arroba - PR,Preços,0,0,1
1664,Preço médio - recebido pelo agricultor - boi magro para engorda - cabeça - PR,Preços,0,0,1
1665,Preço médio - recebido pelo agricultor - cana-de-açúcar - tonelada - PR,Preços,0,0,1
1666,Preço médio - recebido pelo agricultor - café (em coco) -  kg / renda - PR,Preços,0,0,1
1667,Preço médio - recebido pelo agricultor - feijão de cor - 60 kg - PR,Preços,0,0,1
1668,Preço médio - recebido pelo agricultor - feijão preto - 60 kg - PR,Preços,0,0,1
1669,Preço médio - atacado - frango vivo - kg - PR,Preços,0,0,1
1670,Preço médio - recebido pelo agricultor - leite - litro - PR,Preços,0,0,1
1671,Preço médio - recebido pelo agricultor - mandioca - tonelada - PR,Preços,0,0,1
1672,Preço médio - recebido pelo agricultor - milho - 60 kg - PR,Preços,0,0,1
1673,Preço médio - recebido pelo agricultor - ovo grande - 30 dúzias - PR,Preços,0,0,1
1674,Preço médio - recebido pelo agricultor - ovo médio - 30 dúzias - PR,Preços,0,0,1
1675,Preço médio - recebido pelo agricultor - soja - 60 kg - PR,Preços,0,0,1
1676,Preço médio - recebido pelo agricultor - suínos - comuns - kg - PR,Preços,0,0,1
1678,Cesta básica - município de São Paulo,Preços,0,0,1
1684,Preços - IPC (FIPE),Preços,1,1,1
1685,Preços - IPC - grupo: habitação - RMSP - var.,Preços,0,1,1
1689,Preços - IPC - grupo: alimentação - RMSP - var.,Preços,0,1,1
1693,Preços - IPC - grupo: transportes - RMSP - var.,Preços,0,1,1
1697,Preços - IPC - grupo: despesas pessoais - RMSP - var.,Preços,0,1,1
1701,Preços - IPC - grupo: saúde - RMSP - var.,Preços,0,1,1
1705,Preços - IPC - grupo: vestuário - RMSP - var.,Preços,0,1,1
1709,Preços - IPC - grupo: educação - RMSP - var.,Preços,0,1,1
1713,Preços - IPC -1ª quadrissemana (FIPE),Preços,1,1,1
1714,Preços - IPC -2ª quadrissemana (FIPE),Preços,1,1,1
1715,Preços - IPC -3ª quadrissemana (FIPE),Preços,1,3,1
1716,Preços - IPC - geral - índice (jun. 1994 = 100) - RMSP,Preços,1,0,1
1727,Preços - IGP-10 - geral - índice (ago. 1994 = 100),Preços,1,0,1
1728,Preços - IGP-DI - geral - índice (ago. 1994 = 100),Preços,1,0,1
1729,Preços - IGP-DI,Preços,1,3,1
1730,Preços - IGP-DI - geral - centrado - fim período - índice (ago. 1994 = 100),Preços,1,0,1
1731,Preços - IGP-M - geral - índice (ago. 1994 = 100),Preços,1,0,1
1732,Preços - IGP-M,Preços,1,3,1
1733,Preços - IGP-M - 1º decêndio,Preços,1,3,1
1734,Preços - IGP-M - 2º decêndio,Preços,1,3,1
1735,Preços - IGP-OG - geral - índice (ago. 1994 = 100),Preços,1,0,1
1736,Preços - IGP-OG,Preços,1,3,1
1737,Preços - INCC-10 - geral - índice (ago. 1994 = 100),Preços,1,0,1
1738,Preços - INCC-DI - geral - índice (ago. 1994 = 100),Preços,1,0,1
1739,Preços - INCC-DI,Preços,1,1,1
1740,Preços - INCC-M,Preços,1,1,1
1741,Preços - INCC-M - 1º decêndio,Preços,1,3,1
1742,Preços - INCC-M - 2º decêndio,Preços,1,3,1
1743,Preços - IPA-10 - geral - índice (ago. 1994 = 100),Preços,1,0,1
1744,Preços - IPA-DI - origem - prod. agropecuários - índice (ago. 1994 = 100),Preços,1,0,1
1745,Preços - IPA-DI - geral - índice (ago. 1994 = 100),Preços,1,0,1
1746,Preços - IPA-DI,Preços,1,3,1
1747,Preços - IPA-DI - origem - prod. industriais - índice (ago. 1994 = 100),Preços,1,0,1
1748,Preços - IPA-M,Preços,1,1,1
1749,Preços - IPA-M - 1º decêndio,Preços,1,3,1
1750,Preços - IPA-M - 2º decêndio,Preços,1,3,1
1751,Preços - IPC-10 - geral - índice (ago. 1994 = 100),Preços,1,0,1
1752,Preços - IPC-DI - geral - índice (ago. 1994 = 100),Preços,1,0,1
1753,Preços - IPC-DI (FGV),Preços,1,3,1
1754,Preços - IPC-M,Preços,1,3,1
1755,Preços - IPC-M - 1º decêndio,Preços,1,3,1
1756,Preços - IPC-M - 2º decêndio,Preços,1,3,1
1790,Preços - INPC - geral - índice (dez. 1993 = 100),Preços,1,0,1
1791,Preços - INPC - alimentos e bebidas - var.,Preços,1,3,1
1792,Preços - INPC -artigos de residência - var.,Preços,1,3,1
1793,Preços -INPC - geral,Preços,1,3,1
1794,Preços - INPC - despesas pessoais - var.,Preços,1,3,1
1797,Preços - INPC - habitação - var.,Preços,1,1,1
1798,Preços - INPC - saúde e cuidados pessoais - var.,Preços,1,3,1
1799,Preços - INPC -transportes - var.,Preços,1,3,1
1800,Preços - INPC - vestuário - var.,Preços,1,3,1
1801,Preços - IPCA - geral - índice (dez. 1993 = 100),Preços,1,0,1
1803,Preços - IPCA - alimentos e bebidas - var.,Preços,1,1,1
1804,Preços - IPCA - artigos de residência - var.,Preços,1,3,1
1805,Preços - IPCA - despesas pessoais - var.,Preços,1,1,1
1808,Preços - IPCA - geral,Preços,1,3,1
1809,Preços - IPCA - habitação - var.,Preços,1,3,1
1810,Preços - IPCA - saúde e cuidados pessoais - var.,Preços,1,3,1
1811,Preços - IPCA - RMSP - var.,Preços,1,3,1
1812,Preços - IPCA - transportes - var.,Preços,1,3,1
1813,Preços - IPCA - vestuário - var.,Preços,1,3,1
1814,Reservas internacionais,Balanço de pagamentos,0,0,0
1815,Balanço de Pagam. - Ativos de reserva,Balanço de pagamentos,0,1,0
1816,Balanço de Pagam. - Balança comercial - Saldo,Balanço de pagamentos,0,1,0
1817,Balanço de Pagam. - Balança comercial - Importações,Balanço de pagamentos,0,0,0
1818,Balanço de Pagam. - Balança comercial - Exportações,Balanço de pagamentos,0,0,0
1819,Balanço de Pagam. - Conta Financeira - Saldo (Captações - Concessões),Balanço de pagamentos,0,1,0
1820,Balanço de Pagam. - Conta capital - Saldo,Balanço de pagamentos,0,1,0
1821,Balanço de Pagam. - Conta capital - Desp.,Balanço de pagamentos,0,2,0
1822,Balanço de Pagam. - Conta capital - Rec.,Balanço de pagamentos,0,0,0
1823,Balanço de Pagam. - Outros invest. - Créd. comerciais e adiantamentos - Saldo (Passivos - Ativos),Balanço de pagamentos,0,1,0
1824,Balanço de Pagam. - Outros invest. - Créd. comerciais e adiantamentos - Ativos,Balanço de pagamentos,0,3,0
1825,Balanço de Pagam. - Outros invest. - Créd. comerciais e adiantamentos - Passivos,Balanço de pagamentos,0,1,0
1826,Balanço de Pagam. - Derivativos - Saldo (Passivos - Ativos),Balanço de pagamentos,0,1,0
1827,Balanço de Pagam. - Derivativos - Ativos,Balanço de pagamentos,0,1,0
1828,Balanço de Pagam. - Derivativos - Passivos,Balanço de pagamentos,0,1,0
1829,Balanço de Pagam. - Outros invest. - Empréstimos - Saldo,Balanço de pagamentos,0,1,0
1830,Balanço de Pagam. - Outros invest. - Empréstimos - Ativos - Saldo,Balanço de pagamentos,0,1,0
1831,Balanço de Pagam. - Outros invest. - Empréstimos - Ativos - Ingressos,Balanço de pagamentos,0,1,0
1832,Balanço de Pagam. - Outros invest. - Empréstimos - Ativos - Saídas,Balanço de pagamentos,0,1,0
1833,Balanço de Pagam. - Outros invest. - Empréstimos - Passivos - Saldo,Balanço de pagamentos,0,1,0
1834,Balanço de Pagam. - Outros invest. - Empréstimos - Passivos - Ingressos,Balanço de pagamentos,0,0,0
